Name,Address,City,State,Zip,Visit Index,geofence,the_geom
Macy's,800 Southland Mall,Hayward,CA,94545,4926,"POLYGON((37.65000124302077 -122.10360130916263,37.65062896851382 -122.10397681842471,37.65025945432479 -122.10494130922268,37.6496487150505 -122.1045657999606,37.65000124302077 -122.10360130916263))","POLYGON((-122.10360130916263 37.65000124302077,-122.10397681842471 37.65062896851382,-122.10494130922268 37.65025945432479,-122.1045657999606 37.6496487150505,-122.10360130916263 37.65000124302077))"
Macy's,5995 Sky Pond Dr,Loveland,CO,80538,4919,"POLYGON((40.416553117340904 -104.98835106063848,40.41755882867461 -104.9877073304749,40.417824297520106 -104.98843284610746,40.41687168459165 -104.98902293209073,40.41669606464052 -104.98853846274318,40.41662663329176 -104.9885582495366,40.416553117340904 -104.98835106063848))","POLYGON((-104.98835106063848 40.416553117340904,-104.9877073304749 40.41755882867461,-104.98843284610746 40.417824297520106,-104.98902293209073 40.41687168459165,-104.98853846274318 40.41669606464052,-104.9885582495366 40.41662663329176,-104.98835106063848 40.416553117340904))"
Macy's,2901 S Capital Of Texas Hwy ,Austin,TX,78746,4917,"POLYGON((30.25836164986651 -97.80613191907963,30.2583299147224 -97.80609503942696,30.25843897874864 -97.80598858945393,30.258480855897055 -97.80604575419295,30.25854928864647 -97.80598649410933,30.258508832409586 -97.80592723400889,30.25863803691544 -97.80579970330768,30.258630551100488 -97.80578482529688,30.258857683183233 -97.80557670181355,30.25915075551038 -97.80599851326355,30.25910326168494 -97.80604079274002,30.25915307223458 -97.80611328193902,30.259201724265857 -97.80607580131277,30.259484369756677 -97.80646479255978,30.25924741990744 -97.80669144030804,30.259253730570432 -97.80670485213784,30.259130302159587 -97.80681750494023,30.259103918738145 -97.80678665920698,30.259046064314195 -97.80683728582903,30.25906929694934 -97.80687450139055,30.25895059465128 -97.80698966866316,30.25893151368978 -97.80697072541756,30.25885161724194 -97.8070483412821,30.25869295030047 -97.80702403313938,30.258687447880572 -97.8070702308172,30.25864878652476 -97.80706918975517,30.258646831731426 -97.80711292566207,30.25861110256964 -97.80711199482619,30.25860482191505 -97.80719467788151,30.258554522347133 -97.80718884801286,30.25856176270427 -97.8070607020644,30.258433325823848 -97.80704356790875,30.258218515988766 -97.80674129920283,30.258318463765143 -97.80664649178561,30.25836164986651 -97.80613191907963))","POLYGON((-97.80613191907963 30.25836164986651,-97.80609503942696 30.2583299147224,-97.80598858945393 30.25843897874864,-97.80604575419295 30.258480855897055,-97.80598649410933 30.25854928864647,-97.80592723400889 30.258508832409586,-97.80579970330768 30.25863803691544,-97.80578482529688 30.258630551100488,-97.80557670181355 30.258857683183233,-97.80599851326355 30.25915075551038,-97.80604079274002 30.25910326168494,-97.80611328193902 30.25915307223458,-97.80607580131277 30.259201724265857,-97.80646479255978 30.259484369756677,-97.80669144030804 30.25924741990744,-97.80670485213784 30.259253730570432,-97.80681750494023 30.259130302159587,-97.80678665920698 30.259103918738145,-97.80683728582903 30.259046064314195,-97.80687450139055 30.25906929694934,-97.80698966866316 30.25895059465128,-97.80697072541756 30.25893151368978,-97.8070483412821 30.25885161724194,-97.80702403313938 30.25869295030047,-97.8070702308172 30.258687447880572,-97.80706918975517 30.25864878652476,-97.80711292566207 30.258646831731426,-97.80711199482619 30.25861110256964,-97.80719467788151 30.25860482191505,-97.80718884801286 30.258554522347133,-97.8070607020644 30.25856176270427,-97.80704356790875 30.258433325823848,-97.80674129920283 30.258218515988766,-97.80664649178561 30.258318463765143,-97.80613191907963 30.25836164986651))"
Macy's,100 Pittsburgh Mills Cir ,Tarentum,PA,15084,4912,"POLYGON((40.57235840115698 -79.80013910630765,40.57301400975853 -79.80013172935884,40.57300951695523 -79.8002370056364,40.57313499687232 -79.80039391506006,40.57303145781064 -79.80054680207792,40.57305183126468 -79.801722569611,40.572366550621304 -79.80173329844706,40.57235840115698 -79.80013910630765))","POLYGON((-79.80013910630765 40.57235840115698,-79.80013172935884 40.57301400975853,-79.8002370056364 40.57300951695523,-79.80039391506006 40.57313499687232,-79.80054680207792 40.57303145781064,-79.801722569611 40.57305183126468,-79.80173329844706 40.572366550621304,-79.80013910630765 40.57235840115698))"
Macy's,655 Richland Mall,Mansfield,OH,44906,4910,"POLYGON((40.76972422021167 -82.59411129722827,40.770684533293796 -82.59408983955615,40.77067234540017 -82.59497161811589,40.76970796945146 -82.59501453346013,40.76972422021167 -82.59411129722827))","POLYGON((-82.59411129722827 40.76972422021167,-82.59408983955615 40.770684533293796,-82.59497161811589 40.77067234540017,-82.59501453346013 40.76970796945146,-82.59411129722827 40.76972422021167))"
Macy's,7804 Abercorn St ,Savannah,GA,31406,4909,"POLYGON((32.00052763791532 -81.11696417088103,32.001292475629015 -81.11671740765166,32.00150628873711 -81.11767830531528,32.00072780506286 -81.1178982464545,32.00052763791532 -81.11696417088103))","POLYGON((-81.11696417088103 32.00052763791532,-81.11671740765166 32.001292475629015,-81.11767830531528 32.00150628873711,-81.1178982464545 32.00072780506286,-81.11696417088103 32.00052763791532))"
Macy's,10129 Coors Blvd NW,Albuquerque,NM,87114,4905,"POLYGON((35.199327332870425 -106.65782598664282,35.19956594512751 -106.6582307243637,35.19957222967511 -106.65822374337625,35.19960536335905 -106.65828046487718,35.19962205873528 -106.65826879017834,35.19979185268568 -106.65855736837557,35.19977418341777 -106.65857394304226,35.19988076087978 -106.65875394429446,35.19993336982448 -106.65870759230017,35.199985437734824 -106.65871278927284,35.19996519081009 -106.65886735234523,35.19995206696657 -106.65887908797868,35.19998332613966 -106.65893709172724,35.19987310479139 -106.65903023784489,35.199880228000794 -106.65904297833771,35.19984671808831 -106.65907041022092,35.199853122115776 -106.65908101753519,35.19982538266596 -106.65910223211824,35.19983456059921 -106.65912052139527,35.19972031509016 -106.65921610826297,35.19971264393218 -106.65920120494707,35.199687986615324 -106.65922333317144,35.19968113735743 -106.65921390765783,35.19964853489811 -106.65924270360642,35.19964524727143 -106.65923458138474,35.199533467413566 -106.65932949730177,35.19931825709222 -106.65896764863896,35.19931236023344 -106.65897728689617,35.19927023374572 -106.65890666922746,35.19925112087099 -106.65892054116324,35.199122934621755 -106.6587041831906,35.199135021937444 -106.6586916732665,35.1990956349878 -106.6586210559883,35.19910601881624 -106.65861133290889,35.198870347213656 -106.65822442718763,35.199327332870425 -106.65782598664282))","POLYGON((-106.65782598664282 35.199327332870425,-106.6582307243637 35.19956594512751,-106.65822374337625 35.19957222967511,-106.65828046487718 35.19960536335905,-106.65826879017834 35.19962205873528,-106.65855736837557 35.19979185268568,-106.65857394304226 35.19977418341777,-106.65875394429446 35.19988076087978,-106.65870759230017 35.19993336982448,-106.65871278927284 35.199985437734824,-106.65886735234523 35.19996519081009,-106.65887908797868 35.19995206696657,-106.65893709172724 35.19998332613966,-106.65903023784489 35.19987310479139,-106.65904297833771 35.199880228000794,-106.65907041022092 35.19984671808831,-106.65908101753519 35.199853122115776,-106.65910223211824 35.19982538266596,-106.65912052139527 35.19983456059921,-106.65921610826297 35.19972031509016,-106.65920120494707 35.19971264393218,-106.65922333317144 35.199687986615324,-106.65921390765783 35.19968113735743,-106.65924270360642 35.19964853489811,-106.65923458138474 35.19964524727143,-106.65932949730177 35.199533467413566,-106.65896764863896 35.19931825709222,-106.65897728689617 35.19931236023344,-106.65890666922746 35.19927023374572,-106.65892054116324 35.19925112087099,-106.6587041831906 35.199122934621755,-106.6586916732665 35.199135021937444,-106.6586210559883 35.1990956349878,-106.65861133290889 35.19910601881624,-106.65822442718763 35.198870347213656,-106.65782598664282 35.199327332870425))"
Macy's,3393 Peachtree Road NE,Atlanta,GA,30326,4898,"POLYGON((33.847686783133774 -84.36135070336798,33.84861232257441 -84.36199443353155,33.84837619587779 -84.3625080327389,33.8483077128078 -84.3625268080126,33.84829129241645 -84.36248791583546,33.84796453260904 -84.36228876187397,33.847712047974234 -84.36282621002738,33.84716997108577 -84.3624543885586,33.847686783133774 -84.36135070336798))","POLYGON((-84.36135070336798 33.847686783133774,-84.36199443353155 33.84861232257441,-84.3625080327389 33.84837619587779,-84.3625268080126 33.8483077128078,-84.36248791583546 33.84829129241645,-84.36228876187397 33.84796453260904,-84.36282621002738 33.847712047974234,-84.3624543885586 33.84716997108577,-84.36135070336798 33.847686783133774))"
Macy's,4747 Concord Pike ,Wilmington,DE,19803,4887,"POLYGON((39.822361863097086 -75.54481122760512,39.82338258173473 -75.54441426067092,39.8235020632924 -75.54489219692823,39.82338670448532 -75.54494097691003,39.82346910386396 -75.5453496726002,39.823370221756726 -75.54564134911607,39.82290787813493 -75.54581032300518,39.822668017982636 -75.54568962251506,39.82257557959685 -75.54526583550575,39.822481344544535 -75.54529802636216,39.822361863097086 -75.54481122760512))","POLYGON((-75.54481122760512 39.822361863097086,-75.54441426067092 39.82338258173473,-75.54489219692823 39.8235020632924,-75.54494097691003 39.82338670448532,-75.5453496726002 39.82346910386396,-75.54564134911607 39.823370221756726,-75.54581032300518 39.82290787813493,-75.54568962251506 39.822668017982636,-75.54526583550575 39.82257557959685,-75.54529802636216 39.822481344544535,-75.54481122760512 39.822361863097086))"
Macy's,500 Southcenter Mall ,Seattle,WA,98188,4884,"POLYGON((47.45916330600557 -122.25868654843703,47.45945911835296 -122.2586637504865,47.45946477448289 -122.2584263750689,47.45979525834438 -122.25840223438536,47.459803378129614 -122.25866509084216,47.45992117216942 -122.25866509076491,47.4599146030674 -122.25963235743745,47.459810102689715 -122.25963938422336,47.459804206970894 -122.25994311460693,47.45948775528396 -122.25994975456956,47.459478686799386 -122.25965190063687,47.4591560520725 -122.25963044296475,47.45916330600557 -122.25868654843703))","POLYGON((-122.25868654843703 47.45916330600557,-122.2586637504865 47.45945911835296,-122.2584263750689 47.45946477448289,-122.25840223438536 47.45979525834438,-122.25866509084216 47.459803378129614,-122.25866509076491 47.45992117216942,-122.25963235743745 47.4599146030674,-122.25963938422336 47.459810102689715,-122.25994311460693 47.459804206970894,-122.25994975456956 47.45948775528396,-122.25965190063687 47.459478686799386,-122.25963044296475 47.4591560520725,-122.25868654843703 47.45916330600557))"
